Zeit,GamePk,Park,Heim,Gast,HeimStarterId,HeimStarter,GastStarterId,GastStarter
2026-09-20T20:10:00Z,825028,Chase Field,Arizona Diamondbacks,New York Yankees,669203,Corbin Burnes,701542,Will Warren
2026-09-20T23:20:00Z,824789,Oriole Park at Camden Yards,Baltimore Orioles,Milwaukee Brewers,,,,
2026-09-21T22:35:00Z,824787,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,,,,
2026-09-21T22:40:00Z,824221,Comerica Park,Detroit Tigers,Washington Nationals,,,,
2026-09-22T01:45:00Z,823169,Oracle Park,San Francisco Giants,Minnesota Twins,,,,
2026-09-22T17:05:00Z,823543,Yankee Stadium,New York Yankees,Tampa Bay Rays,,,,
2026-09-22T23:05:00Z,823494,Yankee Stadium,New York Yankees,Tampa Bay Rays,,,,
2026-09-22T22:35:00Z,824785,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,,,,
2026-09-22T22:40:00Z,824222,Comerica Park,Detroit Tigers,Washington Nationals,,,,
2026-09-22T22:40:00Z,823328,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,,,,
2026-09-22T22:40:00Z,823412,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,,,,
2026-09-22T22:45:00Z,824709,Fenway Park,Boston Red Sox,Cleveland Guardians,,,,
2026-09-22T23:15:00Z,824867,Truist Park,Atlanta Braves,Cincinnati Reds,,,,
2026-09-22T23:40:00Z,824061,Kauffman Stadium,Kansas City Royals,Chicago White Sox,,,,
2026-09-22T23:40:00Z,824624,Wrigley Field,Chicago Cubs,Miami Marlins,,,,
2026-09-23T00:05:00Z,822840,Globe Life Field,Texas Rangers,New York Mets,,,,
2026-09-23T00:40:00Z,824302,Coors Field,Colorado Rockies,Arizona Diamondbacks,,,,
2026-09-23T01:40:00Z,824953,Sutter Health Park,Athletics,Los Angeles Angels,,,,
2026-09-23T01:40:00Z,823089,T-Mobile Park,Seattle Mariners,Houston Astros,,,,
2026-09-23T01:45:00Z,823166,Oracle Park,San Francisco Giants,Minnesota Twins,,,,
2026-09-23T02:10:00Z,823897,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,San Diego Padres,,,,
2026-09-23T17:10:00Z,824223,Comerica Park,Detroit Tigers,Washington Nationals,,,,
2026-09-23T19:45:00Z,823168,Oracle Park,San Francisco Giants,Minnesota Twins,,,,
2026-09-23T22:35:00Z,824784,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,,,,
2026-09-23T22:40:00Z,823327,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,,,,
