Id,Name,Team,Saison,Spiele,Gegentore,Schuesse
8478470,S. Montembeault,MTL,20252026,23,76,619
8480313,L. Thompson,WSH,20252026,57,136,1581
8480280,J. Swayman,BOS,20252026,54,140,1547
8479973,S. Skinner,PIT,20252026,48,134,1246
8481692,D. Wolf,CGY,20252026,52,142,1498
8478499,A. Hill,VGK,20252026,24,71,570
8476341,A. Forsberg,LAK,20252026,34,86,937
8476914,J. Korpisalo,BOS,20252026,28,85,822
8482821,A. Soderblom,CHI,20252026,24,89,754
8479312,A. Lyon,BUF,20252026,33,86,967
8476434,J. Gibson,DET,20252026,55,140,1436
8482487,J. Dobes,MTL,20252026,42,114,1173
8476883,A. Vasilevskiy,TBL,20252026,57,125,1469
8476999,L. Ullmark,OTT,20252026,47,122,1168
8478435,D. Vladar,PHI,20252026,49,115,1263
8477465,T. Jarry,EDM,20252026,30,95,801
8478009,I. Sorokin,NYI,20252026,55,144,1530
8475883,F. Andersen,CAR,20252026,35,107,849
8474593,J. Markstrom,NJD,20252026,42,126,1097
8476412,J. Binnington,STL,20252026,38,121,983
8479406,F. Gustavsson,MIN,20252026,49,132,1368
8477424,J. Saros,NSH,20252026,56,167,1644
8482982,J. Greaves,CBJ,20252026,55,142,1539
8476945,C. Hellebuyck,WPG,20252026,57,162,1547
8479979,J. Oettinger,DAL,20252026,52,129,1349
8478872,K. Vejmelka,UTA,20252026,62,165,1616
8477967,T. Demko,VAN,20252026,18,47,500
8477968,A. Nedeljkovic,SJS,20252026,39,107,1042
8481033,A. Schmid,VGK,20252026,34,85,791
8478916,J. Daccord,SEA,20252026,44,124,1266
8480843,L. Dostal,ANA,20252026,54,165,1503
8480981,J. Hofer,STL,20252026,44,109,1237
8475660,C. Talbot,DET,20252026,27,86,739
8481035,S. Ersson,PHI,20252026,31,94,727
8478007,E. Merzlikins,CBJ,20252026,27,90,798
8475717,C. Pickard,EDM,20252026,15,53,397
8482137,Y. Askarov,SJS,20252026,42,141,1273
8475852,P. Mrazek,ANA,20252026,9,34,243
8471734,J. Quick,NYR,20252026,25,73,671
8479292,C. Lindgren,WSH,20252026,21,73,602
8477992,J. Johansson,TBL,20252026,24,77,663
8477480,E. Comrie,WPG,20252026,22,63,621
8480193,D. Tarasov,FLA,20252026,33,97,925
8474596,J. Allen,NJD,20252026,37,99,1031
8480947,K. Lankinen,VAN,20252026,45,157,1278
8482661,J. Wallstedt,MIN,20252026,33,85,1016
8477970,V. Vanecek,UTA,20252026,20,58,486
8480051,C. Primeau,TOR,20252026,3,13,80
8481020,J. Annunen,NSH,20252026,26,65,703
8483548,B. Bussi,CAR,20252026,39,96,912
8482447,L. Meriläinen,OTT,20252026,19,61,448
8482445,D. Cooley,CGY,20252026,29,73,828
8475831,P. Grubauer,SEA,20252026,31,79,860
8479496,D. Rittich,NYI,20252026,27,71,701
8479193,C. DeSmith,DAL,20252026,30,71,760
8476899,M. Murray,SEA,20252026,3,6,92
8482076,N. Daws,NJD,20252026,3,8,87
8481551,C. Ellis,BUF,20252026,15,44,449
8481529,T. Miner,COL,20252026,4,7,104
8480045,U. Luukkonen,BUF,20252026,34,82,925
8482761,C. Lindbom,VGK,20252026,8,24,189
8478406,M. Blackwood,COL,20252026,36,86,912
8482783,A. Kolosov,PHI,20252026,2,5,37
8481611,P. Kochetkov,CAR,20252026,8,19,189
8483710,D. Hildeby,TOR,20252026,17,47,527
8483703,S. Murashov,PIT,20252026,5,12,116
8479361,J. Woll,TOR,20252026,38,119,1203
8480238,J. Patera,VAN,20252026,1,7,40
8484268,N. Tolopilo,VAN,20252026,18,64,555
8478024,V. Husso,ANA,20252026,19,61,533
8483114,T. Milic,WPG,20252026,3,8,62
8479394,C. Hart,VGK,20252026,16,40,409
8484170,J. Fowler,MTL,20252026,17,41,448
8478971,C. Ingram,EDM,20252026,30,74,750
8477831,P. Copley,LAK,20252026,1,3,28
8482411,H. Shepard,OTT,20252026,1,2,12
8482123,D. Commesso,CHI,20252026,3,7,85
8477484,S. Martin,NYR,20252026,4,15,121
8473503,J. Reimer,OTT,20252026,14,33,289
8481544,M. Sogaard,OTT,20252026,1,1,20
8483532,C. Stevenson,WSH,20252026,4,8,101
8476316,L. Brossoit,SJS,20252026,1,5,23
8482193,D. Garand,NYR,20252026,3,5,96
8482515,A. Akhtyamov,TOR,20252026,2,10,76
8483668,N. Kokko,SEA,20252026,3,9,82
8477990,B. Halverson,TBL,20252026,1,4,21
8482949,A. Sergeev,CGY,20252026,1,1,28
8484910,V. Ostman,SEA,20252026,1,2,35
