Datum,GamePk,Park,Heim,Gast,HeimF5,GastF5,HeimI1,GastI1,HeimR,GastR,HeimHits,GastHits,HeimHitsF5,GastHitsF5,HeimStarterId,HeimStarter,GastStarterId,GastStarter
2024-03-30,746168,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,2,0,0,0,5,6,14,7,6,2,808967,Yoshinobu Yamamoto,458681,Lance Lynn
2024-03-30,745278,T-Mobile Park,Seattle Mariners,Boston Red Sox,1,1,1,0,4,3,7,7,3,4,669302,Logan Gilbert,676710,Kutter Crawford
2024-03-31,747062,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,1,4,0,2,1,4,3,6,2,5,669330,Tyler Wells,672282,Reid Detmers
2024-03-31,745602,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,2,3,1,2,5,4,9,7,4,3,624133,Ranger Suarez,519242,Chris Sale
2024-03-31,746739,Great American Ball Park,Cincinnati Reds,Washington Nationals,3,3,0,0,6,5,14,9,7,6,607259,Nick Martinez,663623,Jake Irvin
2024-03-31,745115,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,1,7,1,2,2,9,3,10,2,9,542888,Shawn Armstrong,592332,Kevin Gausman
2024-03-31,746090,loanDepot park,Miami Marlins,Pittsburgh Pirates,6,4,5,0,7,9,7,11,5,7,669432,Trevor Rogers,663559,Bailey Falter
2024-03-31,745845,Citi Field,New York Mets,Milwaukee Brewers,1,3,0,1,1,4,7,9,5,5,656731,Tylor Megill,607067,Colin Rea
2024-03-31,746332,Kauffman Stadium,Kansas City Royals,Minnesota Twins,10,0,3,0,11,0,14,4,13,1,663903,Brady Singer,641927,Bailey Ober
2024-03-31,746815,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,1,2,0,0,2,3,5,8,4,5,607200,Erick Fedde,656427,Jack Flaherty
2024-03-31,746413,Minute Maid Park,Houston Astros,New York Yankees,1,3,0,0,3,4,12,10,5,6,641585,J.P. France,657376,Clarke Schmidt
2024-03-31,745035,Globe Life Field,Texas Rangers,Chicago Cubs,5,5,0,3,5,9,8,12,6,7,592351,Jon Gray,696136,Jordan Wicks
2024-03-31,745683,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,3,0,2,0,4,3,9,7,6,2,621112,Paul Blackburn,471911,Carlos Carrasco
2024-03-31,747222,Chase Field,Arizona Diamondbacks,Colorado Rockies,5,1,3,0,5,1,5,8,5,5,694297,Brandon Pfaadt,663372,Ryan Feltner
2024-03-31,745279,T-Mobile Park,Seattle Mariners,Boston Red Sox,1,4,0,0,1,5,4,10,3,6,682243,Bryce Miller,676477,Garrett Whitlock
2024-03-31,745438,Petco Park,San Diego Padres,San Francisco Giants,12,2,5,0,13,4,16,5,13,2,650633,Michael King,641726,Daulton Jefferies
2024-03-31,746166,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,0,2,0,0,5,4,8,8,3,7,694813,Gavin Stone,571927,Steven Matz
2024-04-01,746817,Guaranteed Rate Field,Chicago White Sox,Atlanta Braves,0,4,0,0,0,9,3,11,3,6,623167,Chris Flexen,450203,Charlie Morton
2024-04-01,746899,Wrigley Field,Chicago Cubs,Colorado Rockies,0,0,0,0,5,0,9,3,1,0,684007,Shota Imanaga,641712,Dakota Hudson
2024-04-01,744875,Nationals Park,Washington Nationals,Pittsburgh Pirates,1,2,0,0,4,8,8,15,3,4,669022,MacKenzie Gore,594835,Marco Gonzales
2024-04-01,747058,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,3,3,0,0,6,4,9,7,3,3,665152,Dean Kremer,608379,Michael Wacha
2024-04-01,745600,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,2,0,2,0,3,6,7,8,3,4,650911,Cristopher Sánchez,671096,Andrew Abbott
2024-04-01,746085,loanDepot park,Miami Marlins,Los Angeles Angels,4,2,4,0,4,7,9,7,8,2,676974,Max Meyer,681217,Chase Silseth
2024-04-01,745109,Tropicana Field,Tampa Bay Rays,Texas Rangers,0,3,0,3,3,9,5,8,1,2,686752,Ryan Pepiot,641540,Dane Dunning
2024-04-01,745842,Citi Field,New York Mets,Detroit Tigers,0,0,0,0,0,5,5,4,2,0,640455,Sean Manaea,681857,Reese Olson
2024-04-01,746409,Minute Maid Park,Houston Astros,Toronto Blue Jays,5,0,3,0,10,0,12,0,7,0,669854,Ronel Blanco,670102,Bowden Francis
2024-04-01,745675,Oakland Coliseum,Oakland Athletics,Boston Red Sox,0,8,0,1,0,9,4,9,2,8,671212,Joe Boyle,656557,Tanner Houck
2024-04-01,745277,T-Mobile Park,Seattle Mariners,Cleveland Guardians,5,2,0,0,5,4,7,6,4,3,676106,Emerson Hancock,663474,Triston McKenzie
2024-04-01,745437,Petco Park,San Diego Padres,St. Louis Cardinals,1,4,0,3,2,6,5,14,3,10,663362,Matt Waldron,502043,Kyle Gibson
2024-04-01,747218,Chase Field,Arizona Diamondbacks,New York Yankees,1,5,0,0,2,5,4,8,2,7,669194,Ryne Nelson,661563,Luis Gil
2024-04-01,746170,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,3,0,1,0,8,3,9,8,4,4,572020,James Paxton,676775,Keaton Winn
2024-04-02,746009,American Family Field,Milwaukee Brewers,Minnesota Twins,3,1,0,0,3,2,7,3,7,3,596001,Jakob Junis,686973,Louis Varland
2024-04-02,747057,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,1,4,0,0,1,4,3,8,2,7,608344,Cole Irvin,679525,Alec Marsh
2024-04-02,745598,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,2,1,1,0,9,4,9,8,3,3,605513,Spencer Turnbull,668933,Graham Ashcraft
2024-04-02,746086,loanDepot park,Miami Marlins,Los Angeles Angels,0,1,0,0,1,3,5,7,2,2,666200,Jesús Luzardo,542881,Tyler Anderson
2024-04-02,745111,Tropicana Field,Tampa Bay Rays,Texas Rangers,5,0,0,0,5,2,7,7,6,2,621107,Zach Eflin,571760,Andrew Heaney
2024-04-02,746898,Wrigley Field,Chicago Cubs,Colorado Rockies,7,0,2,0,12,2,14,7,10,3,665871,Javier Assad,607536,Kyle Freeland
2024-04-02,746814,Guaranteed Rate Field,Chicago White Sox,Atlanta Braves,0,0,0,0,3,2,7,5,2,2,676979,Garrett Crochet,625643,Reynaldo López
2024-04-02,746411,Minute Maid Park,Houston Astros,Toronto Blue Jays,1,0,0,0,1,2,8,8,4,4,664285,Framber Valdez,621244,José Berríos
2024-04-02,745680,Oakland Coliseum,Oakland Athletics,Boston Red Sox,4,3,0,1,4,5,7,12,5,6,622072,Alex Wood,678394,Brayan Bello
2024-04-02,745273,T-Mobile Park,Seattle Mariners,Cleveland Guardians,0,4,0,0,2,5,9,12,5,8,622491,Luis Castillo,669456,Shane Bieber
2024-04-02,745439,Petco Park,San Diego Padres,St. Louis Cardinals,2,1,0,0,2,5,9,6,7,2,506433,Yu Darvish,571945,Miles Mikolas
2024-04-02,747220,Chase Field,Arizona Diamondbacks,New York Yankees,3,0,3,0,7,0,11,3,8,2,668678,Zac Gallen,641482,Nestor Cortes
